var_1,var_2,coef,pval
distrust,task,0.03233322,0.809597716
distrust,bace,-0.50359155,5.59E-05
distrust,igb,0.217796677,0.10051453
distrust,sc,-0.640686995,6.07E-08
distrust,cc,0.006217055,0.963057265
distrust,power,0.058704373,0.661585883
distrust,i1,0.252224576,0.056123245
distrust,i2,0.360906106,0.005382193
distrust,i3,0.188581169,0.156283288
distrust,i4a,-0.252224576,0.056123245
distrust,i4b,0.116194381,0.385069236
distrust,i5ap,0.094010613,0.48271984
distrust,i5pr,-0.294293452,0.02493583
distrust,i5re,0.303101818,0.020733483
distrust,i5op,-0.106785355,0.424966478
distrust,i5th,-0.350180429,0.007044273
distrust,i5pu,-0.175332607,0.188023062
distrust,p1,-0.359149517,0.005628189
distrust,p2,-0.320462393,0.01418676
distrust,p3,-0.150461351,0.259587198
distrust,p4,-0.596673538,7.69E-07
distrust,p5,0.571862198,2.74E-06
distrust,House seats,0.13314021,0.319086237
distrust,Senate seats,0.269808576,0.04053783
task,bace,-0.418229254,0.001087141
task,igb,-0.199681448,0.132889485
task,sc,0.068017339,0.611932781
task,cc,0.006983376,0.95850744
task,power,-0.075004134,0.57577345
task,i1,0.335155217,0.010118506
task,i2,0.34347895,0.008296627
task,i3,0.29228973,0.025985954
task,i4a,-0.335155217,0.010118506
task,i4b,0.092744676,0.488660233
task,i5ap,0.228485001,0.084507382
task,i5pr,-0.426606317,0.000839768
task,i5re,0.234075723,0.076973845
task,i5op,-0.302048436,0.021202072
task,i5th,-0.344784299,0.008038512
task,i5pu,-0.13021445,0.329931367
task,p1,-0.174662874,0.189742101
task,p2,0.039119579,0.770629203
task,p3,-0.310639035,0.017630037
task,p4,-0.520773311,2.78E-05
task,p5,0.567836874,3.34E-06
task,House seats,-0.269991007,0.04039713
task,Senate seats,-0.028583582,0.831334149
bace,igb,-0.026646016,0.842616585
bace,sc,0.653729291,2.64E-08
bace,cc,-0.388600472,0.002573916
bace,power,0.164768943,0.216460454
bace,i1,-0.548532945,8.28E-06
bace,i2,-0.483089979,0.000122543
bace,i3,-0.560630395,4.72E-06
bace,i4a,0.548532945,8.28E-06
bace,i4b,0.081330681,0.543904459
bace,i5ap,-0.452416502,0.000363153
bace,i5pr,0.449190616,0.000404742
bace,i5re,-0.111429611,0.404987417
bace,i5op,0.442662538,0.000502413
bace,i5th,0.512858089,3.85E-05
bace,i5pu,0.278207894,0.03446508
bace,p1,0.15089082,0.258213975
bace,p2,0.134898019,0.31268091
bace,p3,-0.07182184,0.592121313
bace,p4,0.793912211,1.05E-13
bace,p5,-0.711948716,3.71E-10
bace,House seats,-0.015653819,0.907154972
bace,Senate seats,-0.111138543,0.406223272
igb,sc,-0.173224713,0.193471514
igb,cc,-0.082238042,0.539404794
igb,power,0.398013414,0.001973959
igb,i1,-0.06159955,0.645981045
igb,i2,-0.02358267,0.860517872
igb,i3,0.034169749,0.799002303
igb,i4a,0.06159955,0.645981045
igb,i4b,-0.040859859,0.76072214
igb,i5ap,-0.010483096,0.93774768
igb,i5pr,-0.094292349,0.481403009
igb,i5re,-0.009949522,0.940910436
igb,i5op,0.218390305,0.099567929
igb,i5th,-0.12288525,0.358104441
igb,i5pu,-0.0580793,0.664974141
igb,p1,-0.024080079,0.857606169
igb,p2,-0.061611046,0.645919377
igb,p3,0.100454332,0.45308347
igb,p4,-0.103435176,0.439719723
igb,p5,0.048151346,0.719643545
igb,House seats,0.299474518,0.022384953
igb,Senate seats,0.041452887,0.757354766
sc,cc,-0.211773529,0.110518005
sc,power,-0.01243274,0.92619966
sc,i1,-0.480317306,0.000135765
sc,i2,-0.459642719,0.00028373
sc,i3,-0.461802695,0.000263271
sc,i4a,0.480317306,0.000135765
sc,i4b,0.175709315,0.187061072
sc,i5ap,-0.37247309,0.003985441
sc,i5pr,0.216624126,0.102404776
sc,i5re,-0.048256738,0.719055207
sc,i5op,0.305440071,0.019724632
